ASP.NET Core 2.0,Commit,11460,CVE-2018-0808,ASP.NET Core Denial of Service Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4088787,10852,CVE-2018-0926,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1607 for x64-based Systems,4088787,10853,CVE-2018-0926,Windows Kernel Information Disclosure Vulnerability
Windows Server 2016,4088787,10816,CVE-2018-0926,Windows Kernel Information Disclosure Vulnerability
Windows Server 2016  (Server Core installation),4088787,10855,CVE-2018-0926,Windows Kernel Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for 32-bit Systems,4088782,10724-10951,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for x64-based Systems,4088782,10724-10952,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for 32-bit Systems,4088776,10724-11453,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for x64-based Systems,4088776,10724-11454,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 for 32-bit Systems,4088786,10724-10729,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 for x64-based Systems,4088786,10724-10735,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1511 for 32-bit Systems,4088779,10724-10789,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1511 for x64-based Systems,4088779,10724-10788,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for 32-bit Systems,4088787,10724-10852,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for x64-based Systems,4088787,10724-10853,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows Server 2016,4088787,10724-10816,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 10 on Windows Server 2012,4088877,10555-10378,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 10 on Windows Server 2012,4089187,10555-10378,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1703 for 32-bit Systems,4088782,10486-10951,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1703 for x64-based Systems,4088782,10486-10952,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1709 for 32-bit Systems,4088776,10486-11453,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1709 for x64-based Systems,4088776,10486-11454,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 for 32-bit Systems,4088786,10486-10729,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 for x64-based Systems,4088786,10486-10735,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1511 for 32-bit Systems,4088779,10486-10789,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1511 for x64-based Systems,4088779,10486-10788,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1607 for 32-bit Systems,4088787,10486-10852,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1607 for x64-based Systems,4088787,10486-10853,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows Server 2016,4088787,10486-10816,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1,4088875,10486-10047,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1,4096040,10486-10047,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1,4088875,10486-10048,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1,4096040,10486-10048,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 8.1 for 32-bit systems,4088876,10486-10481,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 8.1 for 32-bit systems,4089187,10486-10481,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 8.1 for x64-based systems,4088876,10486-10482,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 8.1 for x64-based systems,4089187,10486-10482,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows RT 8.1,4088876,10486-10484,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1,4088875,10486-10051,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1,4096040,10486-10051,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows Server 2012 R2,4088876,10486-10483,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows Server 2012 R2,4089187,10486-10483,CVE-2018-0927,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 10 on Windows Server 2012,4088877,10555-10378,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 10 on Windows Server 2012,4089187,10555-10378,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 9 on Windows Server 2008 for 32-bit Systems Service Pack 2,4089187,10336-9312,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 9 on Windows Server 2008 for x64-based Systems Service Pack 2,4089187,10336-9318,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1703 for 32-bit Systems,4088782,10486-10951,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1703 for x64-based Systems,4088782,10486-10952,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1709 for 32-bit Systems,4088776,10486-11453,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1709 for x64-based Systems,4088776,10486-11454,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 for 32-bit Systems,4088786,10486-10729,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 for x64-based Systems,4088786,10486-10735,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1511 for 32-bit Systems,4088779,10486-10789,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1511 for x64-based Systems,4088779,10486-10788,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1607 for 32-bit Systems,4088787,10486-10852,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 10 Version 1607 for x64-based Systems,4088787,10486-10853,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows Server 2016,4088787,10486-10816,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1,4088875,10486-10047,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1,4096040,10486-10047,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1,4088875,10486-10048,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1,4096040,10486-10048,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 8.1 for 32-bit systems,4088876,10486-10481,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 8.1 for 32-bit systems,4089187,10486-10481,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 8.1 for x64-based systems,4088876,10486-10482,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows 8.1 for x64-based systems,4089187,10486-10482,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows RT 8.1,4088876,10486-10484,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1,4088875,10486-10051,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1,4096040,10486-10051,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows Server 2012 R2,4088876,10486-10483,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
Internet Explorer 11 on Windows Server 2012 R2,4089187,10486-10483,CVE-2018-0929,Internet Explorer Information Disclosure Vulnerability
ChakraCore,Commit,11447,CVE-2018-0930,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for 32-bit Systems,4088776,10724-11453,CVE-2018-0930,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for x64-based Systems,4088776,10724-11454,CVE-2018-0930,Chakra Scripting Engine Memory Corruption Vulnerability
ChakraCore,Commit,11447,CVE-2018-0931,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for 32-bit Systems,4088782,10724-10951,CVE-2018-0931,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for x64-based Systems,4088782,10724-10952,CVE-2018-0931,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for 32-bit Systems,4088776,10724-11453,CVE-2018-0931,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for x64-based Systems,4088776,10724-11454,CVE-2018-0931,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 for 32-bit Systems,4088786,10724-10729,CVE-2018-0931,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 for x64-based Systems,4088786,10724-10735,CVE-2018-0931,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1511 for 32-bit Systems,4088779,10724-10789,CVE-2018-0931,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1511 for x64-based Systems,4088779,10724-10788,CVE-2018-0931,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for 32-bit Systems,4088787,10724-10852,CVE-2018-0931,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for x64-based Systems,4088787,10724-10853,CVE-2018-0931,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows Server 2016,4088787,10724-10816,CVE-2018-0931,Chakra Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1703 for 32-bit Systems,4088782,10486-10951,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1703 for x64-based Systems,4088782,10486-10952,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1709 for 32-bit Systems,4088776,10486-11453,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1709 for x64-based Systems,4088776,10486-11454,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 for 32-bit Systems,4088786,10486-10729,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 for x64-based Systems,4088786,10486-10735,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1511 for 32-bit Systems,4088779,10486-10789,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1511 for x64-based Systems,4088779,10486-10788,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1607 for 32-bit Systems,4088787,10486-10852,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1607 for x64-based Systems,4088787,10486-10853,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows Server 2016,4088787,10486-10816,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1,4088875,10486-10047,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1,4096040,10486-10047,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1,4088875,10486-10048,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1,4096040,10486-10048,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 8.1 for 32-bit systems,4088876,10486-10481,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 8.1 for 32-bit systems,4089187,10486-10481,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 8.1 for x64-based systems,4088876,10486-10482,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows 8.1 for x64-based systems,4089187,10486-10482,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows RT 8.1,4088876,10486-10484,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1,4088875,10486-10051,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1,4096040,10486-10051,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows Server 2012 R2,4088876,10486-10483,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Internet Explorer 11 on Windows Server 2012 R2,4089187,10486-10483,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for 32-bit Systems,4088782,10724-10951,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for x64-based Systems,4088782,10724-10952,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for 32-bit Systems,4088776,10724-11453,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for x64-based Systems,4088776,10724-11454,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 for 32-bit Systems,4088786,10724-10729,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 for x64-based Systems,4088786,10724-10735,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1511 for 32-bit Systems,4088779,10724-10789,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1511 for x64-based Systems,4088779,10724-10788,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for 32-bit Systems,4088787,10724-10852,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for x64-based Systems,4088787,10724-10853,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows Server 2016,4088787,10724-10816,CVE-2018-0932,Microsoft Browser Memory Corruption Vulnerability
ChakraCore,Commit,11447,CVE-2018-0933,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for 32-bit Systems,4088782,10724-10951,CVE-2018-0933,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for x64-based Systems,4088782,10724-10952,CVE-2018-0933,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for 32-bit Systems,4088776,10724-11453,CVE-2018-0933,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for x64-based Systems,4088776,10724-11454,CVE-2018-0933,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 for 32-bit Systems,4088786,10724-10729,CVE-2018-0933,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 for x64-based Systems,4088786,10724-10735,CVE-2018-0933,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1511 for 32-bit Systems,4088779,10724-10789,CVE-2018-0933,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1511 for x64-based Systems,4088779,10724-10788,CVE-2018-0933,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for 32-bit Systems,4088787,10724-10852,CVE-2018-0933,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for x64-based Systems,4088787,10724-10853,CVE-2018-0933,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows Server 2016,4088787,10724-10816,CVE-2018-0933,Chakra Scripting Engine Memory Corruption Vulnerability
ChakraCore,Commit,11447,CVE-2018-0934,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for 32-bit Systems,4088782,10724-10951,CVE-2018-0934,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for x64-based Systems,4088782,10724-10952,CVE-2018-0934,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for 32-bit Systems,4088776,10724-11453,CVE-2018-0934,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for x64-based Systems,4088776,10724-11454,CVE-2018-0934,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 for 32-bit Systems,4088786,10724-10729,CVE-2018-0934,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 for x64-based Systems,4088786,10724-10735,CVE-2018-0934,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1511 for 32-bit Systems,4088779,10724-10789,CVE-2018-0934,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1511 for x64-based Systems,4088779,10724-10788,CVE-2018-0934,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for 32-bit Systems,4088787,10724-10852,CVE-2018-0934,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for x64-based Systems,4088787,10724-10853,CVE-2018-0934,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows Server 2016,4088787,10724-10816,CVE-2018-0934,Chakra Scripting Engine Memory Corruption Vulnerability
Internet Explorer 10 on Windows Server 2012,4088877,10555-10378,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 10 on Windows Server 2012,4089187,10555-10378,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 9 on Windows Server 2008 for 32-bit Systems Service Pack 2,4089187,10336-9312,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 9 on Windows Server 2008 for x64-based Systems Service Pack 2,4089187,10336-9318,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1703 for 32-bit Systems,4088782,10486-10951,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1703 for x64-based Systems,4088782,10486-10952,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1709 for 32-bit Systems,4088776,10486-11453,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1709 for x64-based Systems,4088776,10486-11454,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 for 32-bit Systems,4088786,10486-10729,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 for x64-based Systems,4088786,10486-10735,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1511 for 32-bit Systems,4088779,10486-10789,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1511 for x64-based Systems,4088779,10486-10788,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1607 for 32-bit Systems,4088787,10486-10852,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 10 Version 1607 for x64-based Systems,4088787,10486-10853,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows Server 2016,4088787,10486-10816,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1,4088875,10486-10047,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1,4096040,10486-10047,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1,4088875,10486-10048,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1,4096040,10486-10048,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 8.1 for 32-bit systems,4088876,10486-10481,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 8.1 for 32-bit systems,4089187,10486-10481,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 8.1 for x64-based systems,4088876,10486-10482,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows 8.1 for x64-based systems,4089187,10486-10482,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows RT 8.1,4088876,10486-10484,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1,4088875,10486-10051,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1,4096040,10486-10051,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows Server 2012 R2,4088876,10486-10483,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
Internet Explorer 11 on Windows Server 2012 R2,4089187,10486-10483,CVE-2018-0935,Scripting Engine Memory Corruption Vulnerability
ChakraCore,Commit,11447,CVE-2018-0936,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for 32-bit Systems,4088776,10724-11453,CVE-2018-0936,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for x64-based Systems,4088776,10724-11454,CVE-2018-0936,Chakra Scripting Engine Memory Corruption Vulnerability
ChakraCore,Commit,11447,CVE-2018-0937,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for 32-bit Systems,4088782,10724-10951,CVE-2018-0937,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for x64-based Systems,4088782,10724-10952,CVE-2018-0937,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for 32-bit Systems,4088776,10724-11453,CVE-2018-0937,Chakra Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for x64-based Systems,4088776,10724-11454,CVE-2018-0937,Chakra Scripting Engine Memory Corruption Vulnerability
ChakraCore,Commit,11447,CVE-2018-0939,Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for 32-bit Systems,4088782,10724-10951,CVE-2018-0939,Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for x64-based Systems,4088782,10724-10952,CVE-2018-0939,Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for 32-bit Systems,4088776,10724-11453,CVE-2018-0939,Scripting Engine Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for x64-based Systems,4088776,10724-11454,CVE-2018-0939,Scripting Engine Memory Corruption Vulnerability
Microsoft Exchange Server 2013 Cumulative Update 18,4073392,11470,CVE-2018-0940,Microsoft Exchange Elevation of Privilege Vulnerability
Microsoft Exchange Server 2016 Cumulative Update 7,4073392,11469,CVE-2018-0940,Microsoft Exchange Elevation of Privilege Vulnerability
Microsoft Exchange Server 2013 Service Pack 1,4073392,10650,CVE-2018-0940,Microsoft Exchange Elevation of Privilege Vulnerability
