Azure Sphere,Release Notes,11796,CVE-2020-16970,Azure Sphere Unsigned Code Execution Vulnerability
Microsoft SharePoint Server 2019,4486714,11585,CVE-2020-17015,Microsoft SharePoint Spoofing Vulnerability
Microsoft SharePoint Foundation 2013 Service Pack 1,4486733,10612,CVE-2020-17015,Microsoft SharePoint Spoofing Vulnerability
Microsoft SharePoint Enterprise Server 2016,4486717,10950,CVE-2020-17016,Microsoft SharePoint Spoofing Vulnerability
Microsoft SharePoint Enterprise Server 2016,4486717,10950,CVE-2020-17016,Microsoft SharePoint Spoofing Vulnerability
Microsoft SharePoint Enterprise Server 2013 Service Pack 1,4486723,11099,CVE-2020-17016,Microsoft SharePoint Spoofing Vulnerability
Microsoft SharePoint Server 2019,4486714,11585,CVE-2020-17016,Microsoft SharePoint Spoofing Vulnerability
Microsoft SharePoint Server 2019,4486714,11585,CVE-2020-17016,Microsoft SharePoint Spoofing Vulnerability
Microsoft SharePoint Server 2010 Service Pack 2,4486706,10495,CVE-2020-17016,Microsoft SharePoint Spoofing Vulnerability
Microsoft SharePoint Enterprise Server 2016,4486717,10950,CVE-2020-17017,Microsoft SharePoint Information Disclosure Vulnerability
Microsoft SharePoint Enterprise Server 2016,4486717,10950,CVE-2020-17017,Microsoft SharePoint Information Disclosure Vulnerability
Microsoft SharePoint Server 2019,4486714,11585,CVE-2020-17017,Microsoft SharePoint Information Disclosure Vulnerability
Microsoft SharePoint Server 2019,4486714,11585,CVE-2020-17017,Microsoft SharePoint Information Disclosure Vulnerability
Microsoft SharePoint Foundation 2010 Service Pack 2,4486744,10505,CVE-2020-17017,Microsoft SharePoint Information Disclosure Vulnerability
Microsoft SharePoint Foundation 2013 Service Pack 1,4486733,10612,CVE-2020-17017,Microsoft SharePoint Information Disclosure Vulnerability
Microsoft Dynamics 365 (on-premises) version 8.2,4584612,11663,CVE-2020-17018,Microsoft Dynamics 365 (on-premises) Cross-site Scripting Vulnerability
Microsoft Dynamics 365 (on-premises) version 9.0,4584611,11664,CVE-2020-17018,Microsoft Dynamics 365 (on-premises) Cross-site Scripting Vulnerability
Microsoft Dynamics 365 (on-premises) version 9.0,4584611,11664,CVE-2020-17021,Microsoft Dynamics 365 (on-premises) Cross-site Scripting Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17024,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for 32-bit Systems,4586781,11801,CVE-2020-17025,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for 32-bit Systems,4586781,11801,CVE-2020-17025,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17025,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17025,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17025,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17025,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17025,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17025,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17025,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17025,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17025,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17025,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17025,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17025,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17026,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17026,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17026,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17026,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17026,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17026,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17026,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17026,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17026,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17026,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17026,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17026,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17026,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17026,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17027,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17027,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17027,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17027,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17027,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17027,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17027,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17027,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17027,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17027,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17027,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17027,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17027,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17027,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for 32-bit Systems,4586781,11801,CVE-2020-17028,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for 32-bit Systems,4586781,11801,CVE-2020-17028,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17028,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17028,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17028,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17028,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17028,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17028,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17028,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17028,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17028,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17028,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17028,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17028,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for 32-bit Systems,4586781,11801,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 10 Version 20H2 for 32-bit Systems,4586781,11801,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17029,Windows Canonical Display Driver Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17030,Windows MSCTF Server Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17030,Windows MSCTF Server Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17030,Windows MSCTF Server Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17030,Windows MSCTF Server Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17030,Windows MSCTF Server Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17030,Windows MSCTF Server Information Disclosure Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17030,Windows MSCTF Server Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17031,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17031,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17031,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17031,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17031,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17031,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17031,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17031,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17031,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17031,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17031,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17031,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17031,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17031,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17032,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17032,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17032,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17032,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17032,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17032,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17032,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17032,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17032,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17032,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17032,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17032,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17032,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17032,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17033,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17033,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17033,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17033,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17033,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17033,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17033,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17033,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17033,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17033,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17033,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17033,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17033,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17033,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17034,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17034,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17034,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17034,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17034,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17034,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17034,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17034,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17034,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17034,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17034,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17034,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17034,Windows Remote Access Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17034,Windows Remote Access Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17035,Windows Kernel Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17035,Windows Kernel Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17035,Windows Kernel Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17035,Windows Kernel Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17035,Windows Kernel Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17035,Windows Kernel Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-17035,Windows Kernel Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17035,Windows Kernel Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17035,Windows Kernel Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586807,9312,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4586817,9312,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-17036,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17037,Windows WalletService Elevation of Privilege Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-17037,Windows WalletService Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17037,Windows WalletService Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17037,Windows WalletService Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-17037,Windows WalletService Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17037,Windows WalletService Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-17037,Windows WalletService Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-17037,Windows WalletService Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17037,Windows WalletService Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-17037,Windows WalletService Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-17038,Win32k Elevation of Privilege Vulnerability
